id	theta	r	color	phy
s__Hungatella_A hathewayi	0.7735876646997423	180	#1B9E77	p__Firmicutes_A
s__CAG-791 sp000431495	0.7740128426528597	400	#1B9E77	p__Firmicutes_A
s__CAG-632 sp000431515	0.7838204250218006	420	#1B9E77	p__Firmicutes_A
s__UBA9506 sp003506415	0.7861067933193105	240	#1B9E77	p__Firmicutes_A
s__Mogibacterium sp900315625	0.8061949111042783	220	#1B9E77	p__Firmicutes_A
s__Eubacterium_R sp003526845	0.8144018217037616	360	#1B9E77	p__Firmicutes_A
s__Acutalibacter sp000432995	0.8164842873282028	340	#1B9E77	p__Firmicutes_A
s__Massilioclostridium methylpentosum	0.8172865098812545	160	#1B9E77	p__Firmicutes_A
s__Clostridium butyricum	0.8177589298291628	320	#1B9E77	p__Firmicutes_A
s__CAG-1435 sp000433775	0.8183980862292739	380	#1B9E77	p__Firmicutes_A
s__Agathobaculum sp900291975	0.820989260824319	120	#1B9E77	p__Firmicutes_A
s__Lachnoclostridium sp900078195	0.8222117391254042	300	#1B9E77	p__Firmicutes_A
s__Murimonas intestini	0.8242783251102965	400	#1B9E77	p__Firmicutes_A
s__CAG-465 sp000433135	0.8317836716414921	420	#1B9E77	p__Firmicutes_A
s__Anaerococcus vaginalis_B	0.8362376089410217	280	#1B9E77	p__Firmicutes_A
s__Anaerotignum sp001304995	0.8442601649714991	200	#1B9E77	p__Firmicutes_A
s__CAG-917 sp000437555	0.8484662264431984	80	#1B9E77	p__Firmicutes_A
s__Anaerococcus obesiensis	0.850064288983036	260	#1B9E77	p__Firmicutes_A
s__Parvimonas micra	0.8698825974150384	240	#1B9E77	p__Firmicutes_A
s__CAG-1024 sp000432015	0.8700052315018112	360	#1B9E77	p__Firmicutes_A
s__CAG-314 sp000437915	0.8711979627601947	380	#1B9E77	p__Firmicutes_A
s__GCA-900066495 sp900066495	0.8745438075677332	400	#1B9E77	p__Firmicutes_A
s__CAG-272 sp000433515	0.8757596204148026	340	#1B9E77	p__Firmicutes_A
s__UBA1259 sp003523255	0.8797469182611836	420	#1B9E77	p__Firmicutes_A
s__CAG-245 sp000434195	0.8805907829009586	320	#1B9E77	p__Firmicutes_A
s__Lachnospira sp900316325	0.8857874023279492	180	#1B9E77	p__Firmicutes_A
s__Ruminococcus_A sp000437095	0.8890541360102935	300	#1B9E77	p__Firmicutes_A
s__Monoglobus pectinilyticus	0.8959499244631847	140	#1B9E77	p__Firmicutes_A
s__CAG-488 sp003486665	0.8972555677300695	220	#1B9E77	p__Firmicutes_A
s__Peptostreptococcus russellii_A	0.9084581297132008	280	#1B9E77	p__Firmicutes_A
s__CAG-145 sp003150015	0.9239978392911157	380	#1B9E77	p__Firmicutes_A
s__CAG-274 sp000432155	0.9248092900251699	400	#1B9E77	p__Firmicutes_A
s__Parvimonas sp001553085	0.9256086412998605	360	#1B9E77	p__Firmicutes_A
s__GCA-900066755 sp900066755	0.9276344779605618	260	#1B9E77	p__Firmicutes_A
s__Phocea massiliensis	0.927710164880875	420	#1B9E77	p__Firmicutes_A
s__CAG-841 sp000437375	0.9288385750002324	100	#1B9E77	p__Firmicutes_A
s__CAG-83 sp900313295	0.9350349535014024	340	#1B9E77	p__Firmicutes_A
s__CAG-103 sp000432375	0.9429502160248462	160	#1B9E77	p__Firmicutes_A
s__F23-B02 sp003533405	0.9434226359727544	320	#1B9E77	p__Firmicutes_A
s__CAG-448 sp003150135	0.9456018634743957	200	#1B9E77	p__Firmicutes_A
s__F23-B02 sp000431075	0.9536584015107662	240	#1B9E77	p__Firmicutes_A
s__UBA1777 sp003150355	0.9558965328951827	300	#1B9E77	p__Firmicutes_A
s__Ruminococcus_E bromii_A	0.9750747724826065	400	#1B9E77	p__Firmicutes_A
s__Oscillibacter ruminantium	0.9756734115005665	420	#1B9E77	p__Firmicutes_A
s__UBA10281 sp000437515	0.9767977158220366	380	#1B9E77	p__Firmicutes_A
s__Eubacterium limosum	0.9806786504853799	280	#1B9E77	p__Firmicutes_A
s__Romboutsia timonensis	0.9812120510979101	360	#1B9E77	p__Firmicutes_A
s__Lawsonibacter asaccharolyticus	0.9883162243558605	220	#1B9E77	p__Firmicutes_A
s__Clostridium_Q sp000435655	0.9908050799372807	120	#1B9E77	p__Firmicutes_A
s__Eubacterium limosum_A	0.9943102865880022	340	#1B9E77	p__Firmicutes_A
s__Lachnoclostridium_A edouardi	0.9979871399561561	180	#1B9E77	p__Firmicutes_A
s__An181 sp002160325	1.0052046669380874	260	#1B9E77	p__Firmicutes_A
s__Ruminococcus_G gauvreauii	1.0062544890445504	320	#1B9E77	p__Firmicutes_A
s__UBA10677 sp003533505	1.022738929780072	300	#1B9E77	p__Firmicutes_A
s__Lachnoclostridium phytofermentans_A	1.023636658120258	420	#1B9E77	p__Firmicutes_A
s__CAG-269 sp000438255	1.0253402549400432	400	#1B9E77	p__Firmicutes_A
s__UBA1206 sp000433115	1.0295975923529574	380	#1B9E77	p__Firmicutes_A
s__UBA1777 sp002320035	1.0368154608959594	360	#1B9E77	p__Firmicutes_A
s__Anaeromassilibacillus sp002159845	1.037434205606494	240	#1B9E77	p__Firmicutes_A
s__Christensenella minuta	1.0420705130022447	140	#1B9E77	p__Firmicutes_A
s__Mogibacterium sp002299625	1.0469435619772922	200	#1B9E77	p__Firmicutes_A
s__UBA5905 sp002437905	1.0528991712575593	280	#1B9E77	p__Firmicutes_A
s__Marseille-P3106 sp900169975	1.0535856196746023	340	#1B9E77	p__Firmicutes_A
s__UBA1390 sp002305315	1.068613922168438	160	#1B9E77	p__Firmicutes_A
s__Clostridium sp000435835	1.0690863421163463	320	#1B9E77	p__Firmicutes_A
s__CAG-269 sp001916065	1.0715999047399496	420	#1B9E77	p__Firmicutes_A
s__Lachnoclostridium_A sp002160755	1.0756057373974799	400	#1B9E77	p__Firmicutes_A
s__Dorea faecis	1.0793768809816517	220	#1B9E77	p__Firmicutes_A
s__Clostridium_J ihumii	1.0823974688838782	380	#1B9E77	p__Firmicutes_A
s__Clostridium neonatale	1.0827748559156132	260	#1B9E77	p__Firmicutes_A
s__Clostridium_M sp000155435	1.089581326664961	300	#1B9E77	p__Firmicutes_A
s__Sellimonas intestinalis	1.0924188706940088	360	#1B9E77	p__Firmicutes_A
s__Clostridium_X cadaveris	1.0944395459874217	40	#1B9E77	p__Firmicutes_A
s__Faecalicatena fissicatena	1.0997936387303817	80	#1B9E77	p__Firmicutes_A
s__Clostridioides difficile_A	1.110186877584363	180	#1B9E77	p__Firmicutes_A
s__Clostridioides difficile	1.1128609527612021	340	#1B9E77	p__Firmicutes_A
s__Clostridium_M asparagiforme	1.1180605433828337	60	#1B9E77	p__Firmicutes_A
s__Hungatella effluvii	1.1195631513596411	420	#1B9E77	p__Firmicutes_A
s__Clostridium_M citroniae	1.1212100097022217	240	#1B9E77	p__Firmicutes_A
s__Clostridium_M clostridioforme_A	1.1251196920297384	280	#1B9E77	p__Firmicutes_A
s__Pygmaiobacter massiliensis	1.1258712198549166	400	#1B9E77	p__Firmicutes_A
s__Eubacterium_E sp002161065	1.1315219720060254	100	#1B9E77	p__Firmicutes_A
s__Stomatobaculum naviforme	1.131918195188142	320	#1B9E77	p__Firmicutes_A
s__Blautia sp000432195	1.1351973454147992	380	#1B9E77	p__Firmicutes_A
s__UBA11774 sp003507655	1.1480222804920583	360	#1B9E77	p__Firmicutes_A
s__UBA5394 sp003150565	1.1482852604801888	200	#1B9E77	p__Firmicutes_A
s__Eubacterium_R sp000431535	1.1564237235498502	300	#1B9E77	p__Firmicutes_A
s__Ruminococcus_E sp003521625	1.160345044893139	260	#1B9E77	p__Firmicutes_A
s__Sellimonas sp002161525	1.1606208990502427	120	#1B9E77	p__Firmicutes_A
s__Clostridium baratii	1.1675263979793327	420	#1B9E77	p__Firmicutes_A
s__CAG-273 sp000435755	1.1704375376074427	220	#1B9E77	p__Firmicutes_A
s__Anaerococcus hydrogenalis	1.172136285847802	340	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_A lacrimalis	1.1761367023123532	400	#1B9E77	p__Firmicutes_A
s__D5 sp900113995	1.1879972219457202	380	#1B9E77	p__Firmicutes_A
s__CAG-273 sp003507395	1.188191101541305	140	#1B9E77	p__Firmicutes_A
s__CAG-273 sp000437855	1.1942776283120298	160	#1B9E77	p__Firmicutes_A
s__Anaerofustis stercorihominis	1.1947500482599378	320	#1B9E77	p__Firmicutes_A
s__F23-B02 sp001916715	1.1973402128019175	280	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_A harei_A	1.2036256902901077	360	#1B9E77	p__Firmicutes_A
s__Ezakiella massiliensis	1.2049858137979497	240	#1B9E77	p__Firmicutes_A
s__UBA1394 sp900066845	1.215489644599024	420	#1B9E77	p__Firmicutes_A
s__Lactonifactor longoviformis	1.22238661521257	180	#1B9E77	p__Firmicutes_A
s__CAG-488 sp000434915	1.2232661204347395	300	#1B9E77	p__Firmicutes_A
s__CAG-488 sp000434055	1.22640218476979	400	#1B9E77	p__Firmicutes_A
s__Stomatobaculum longum	1.2314116189344018	340	#1B9E77	p__Firmicutes_A
s__Eisenbergiella massiliensis	1.2379152338706647	260	#1B9E77	p__Firmicutes_A
s__Clostridium_M clostridioforme	1.240797098476641	380	#1B9E77	p__Firmicutes_A
s__Faecalicatena orotica	1.2496269589830855	200	#1B9E77	p__Firmicutes_A
s__Blautia sp002161285	1.2575819013317338	320	#1B9E77	p__Firmicutes_A
s__Eisenbergiella tayi	1.2592291000881572	360	#1B9E77	p__Firmicutes_A
s__CAG-465 sp000433755	1.2614981942332337	220	#1B9E77	p__Firmicutes_A
s__Anaeromassilibacillus sp001305115	1.2634528912187155	420	#1B9E77	p__Firmicutes_A
s__Christensenella_A timonensis	1.2695607335740966	280	#1B9E77	p__Firmicutes_A
s__Dorea scindens	1.2766676672272266	400	#1B9E77	p__Firmicutes_A
s__Clostridium_M bolteae	1.2802580588313293	20	#1B9E77	p__Firmicutes_A
s__UBA7096 sp002492425	1.2887616178936774	240	#1B9E77	p__Firmicutes_A
s__Eubacterium callanderi	1.2901085173196287	300	#1B9E77	p__Firmicutes_A
s__Murdochiella massiliensis	1.2906869520210018	340	#1B9E77	p__Firmicutes_A
s__Hungatella sp000526575	1.2935969750075618	380	#1B9E77	p__Firmicutes_A
s__Anaerostipes caccae	1.311416137838407	420	#1B9E77	p__Firmicutes_A
s__Blautia hansenii	1.3148325098862066	360	#1B9E77	p__Firmicutes_A
s__Anaerotignum sp000436415	1.3154854228481905	260	#1B9E77	p__Firmicutes_A
s__V9D3004 sp002349525	1.3199413344556215	160	#1B9E77	p__Firmicutes_A
s__UBA1417 sp003531055	1.3204137544035297	320	#1B9E77	p__Firmicutes_A
s__Ruminococcus_D sp000434695	1.3269331496846632	400	#1B9E77	p__Firmicutes_A
s__Butyricicoccus_A sp002395695	1.3304367181632044	120	#1B9E77	p__Firmicutes_A
s__F23-B02 sp002472405	1.3342053690118185	100	#1B9E77	p__Firmicutes_A
s__Gemmiger variabile	1.334311690080365	140	#1B9E77	p__Firmicutes_A
s__Eubacterium_R sp002493325	1.3345863528407769	180	#1B9E77	p__Firmicutes_A
s__Eubacterium_F sp000434115	1.341781254346276	280	#1B9E77	p__Firmicutes_A
s__Ruminococcus_E sp002493635	1.3463968515384828	380	#1B9E77	p__Firmicutes_A
s__Bittarella massiliensis	1.3499622851076016	340	#1B9E77	p__Firmicutes_A
s__Mogibacterium timonense	1.350968657485982	200	#1B9E77	p__Firmicutes_A
s__COE1 sp001916965	1.351121051017565	80	#1B9E77	p__Firmicutes_A
s__CAG-882 sp000435595	1.352558850859025	220	#1B9E77	p__Firmicutes_A
s__Oscillibacter sp000436875	1.356950914204518	300	#1B9E77	p__Firmicutes_A
s__CAG-194 sp000432915	1.3593793844580986	420	#1B9E77	p__Firmicutes_A
s__CAG-724 sp003524145	1.3704359196842562	360	#1B9E77	p__Firmicutes_A
s__DTU089_A sp002440045	1.3725374219894053	240	#1B9E77	p__Firmicutes_A
s__Ruminiclostridium_E sp003512525	1.3771986321421	400	#1B9E77	p__Firmicutes_A
s__CAG-115 sp002492075	1.3832456074753257	320	#1B9E77	p__Firmicutes_A
s__CAG-145 sp000435615	1.3930556118257162	260	#1B9E77	p__Firmicutes_A
s__CAG-180 sp000432435	1.3991967280694038	380	#1B9E77	p__Firmicutes_A
s__Tyzzerella sp000209385	1.4073426310777901	420	#1B9E77	p__Firmicutes_A
s__CHH4-2 sp002899675	1.4092376181942015	340	#1B9E77	p__Firmicutes_A
s__Clostridium_M lavalense	1.414001775118455	280	#1B9E77	p__Firmicutes_A
s__Blautia producta	1.4237933110894072	300	#1B9E77	p__Firmicutes_A
s__Anaerostipes sp000508985	1.4260393294823055	360	#1B9E77	p__Firmicutes_A
s__CAG-475 sp000434435	1.4274641145995368	400	#1B9E77	p__Firmicutes_A
s__Dorea sp000433535	1.4436195074848162	220	#1B9E77	p__Firmicutes_A
s__CAG-390 sp000437015	1.4456050405992131	160	#1B9E77	p__Firmicutes_A
s__Anaerotignum lactatifermentans	1.4460774605471216	320	#1B9E77	p__Firmicutes_A
s__Oscillibacter sp001916835	1.4467860904689838	180	#1B9E77	p__Firmicutes_A
s__CAG-170 sp003516765	1.4519966046003245	380	#1B9E77	p__Firmicutes_A
s__UBA738 sp003522945	1.4523103559888786	200	#1B9E77	p__Firmicutes_A
s__Murdochiella vaginalis	1.4553058776974817	420	#1B9E77	p__Firmicutes_A
s__Lawsonibacter sp002160305	1.456313226085133	240	#1B9E77	p__Firmicutes_A
s__Bariatricus massiliensis	1.4671263937816996	60	#1B9E77	p__Firmicutes_A
s__Ruminiclostridium_E siraeum	1.4685129512808013	340	#1B9E77	p__Firmicutes_A
s__CAG-177 sp000431775	1.470625800803242	260	#1B9E77	p__Firmicutes_A
s__CAG-83 sp000431575	1.4777295970569735	400	#1B9E77	p__Firmicutes_A
s__Lawsonibacter sp900066645	1.4804322786194253	140	#1B9E77	p__Firmicutes_A
s__Ruminococcus_F champanellensis	1.4816427392803548	360	#1B9E77	p__Firmicutes_A
s__Emergencia timonensis	1.4862222958906341	280	#1B9E77	p__Firmicutes_A
s__Eubacterium_F sp000433735	1.4906357079742965	300	#1B9E77	p__Firmicutes_A
s__Emergencia sp900066695	1.5002525372761661	120	#1B9E77	p__Firmicutes_A
s__CAG-81 sp000435795	1.5032691243171732	420	#1B9E77	p__Firmicutes_A
s__Faecalicatena sp002314255	1.5047964811312455	380	#1B9E77	p__Firmicutes_A
s__Dorea sp900312975	1.5089093136189171	320	#1B9E77	p__Firmicutes_A
s__Agathobaculum desmolans	1.527788284367401	340	#1B9E77	p__Firmicutes_A
s__Acutalibacter sp000435395	1.5279950795144102	400	#1B9E77	p__Firmicutes_A
s__UBA1685 sp002320595	1.5346801641106071	220	#1B9E77	p__Firmicutes_A
s__CAG-115 sp003507295	1.5368887660176116	100	#1B9E77	p__Firmicutes_A
s__TF01-11 sp001916135	1.5372461490784044	360	#1B9E77	p__Firmicutes_A
s__CAG-245 sp000435175	1.540089030180861	240	#1B9E77	p__Firmicutes_A
s__CAG-557 sp000435275	1.5481959897807678	260	#1B9E77	p__Firmicutes_A
s__Faecalicatena glycyrrhizinilyticum	1.5512323709368647	420	#1B9E77	p__Firmicutes_A
s__CAG-273 sp003534295	1.5536520544917751	200	#1B9E77	p__Firmicutes_A
s__CAG-269 sp003525075	1.5574781048591857	300	#1B9E77	p__Firmicutes_A
s__UBA1191 sp900066305	1.5575963576621663	380	#1B9E77	p__Firmicutes_A
s__CAG-115 sp003531585	1.5584428166628133	280	#1B9E77	p__Firmicutes_A
s__Ruminococcus sp002438605	1.5589858280971907	180	#1B9E77	p__Firmicutes_A
s__Ruminococcus_C sp000437175	1.571268746742805	160	#1B9E77	p__Firmicutes_A
s__Phil1 sp001940855	1.571741166690713	320	#1B9E77	p__Firmicutes_A
s__NK4A136 sp002314855	1.5782605619718468	400	#1B9E77	p__Firmicutes_A
s__Ruminococcus_C sp000437255	1.587063617454001	340	#1B9E77	p__Firmicutes_A
s__Dorea sp000765215	1.5928495588764537	360	#1B9E77	p__Firmicutes_A
s__CAG-170 sp002404795	1.599195617556556	420	#1B9E77	p__Firmicutes_A
s__Faecalicatena sp001487105	1.6024484633047487	80	#1B9E77	p__Firmicutes_A
s__CAG-115 sp003516865	1.6103962341930873	380	#1B9E77	p__Firmicutes_A
s__CAG-115 sp000432175	1.6180383215857206	40	#1B9E77	p__Firmicutes_A
s__CAG-95 sp000436115	1.6238648342765887	240	#1B9E77	p__Firmicutes_A
s__Clostridium disporicum	1.624320501744075	300	#1B9E77	p__Firmicutes_A
s__Clostridium saudiense	1.6257408207363981	220	#1B9E77	p__Firmicutes_A
s__Blautia_A sp000433815	1.6257661787582935	260	#1B9E77	p__Firmicutes_A
s__Ruminococcus_A sp000432335	1.6265528671584855	140	#1B9E77	p__Firmicutes_A
s__Dorea sp900240315	1.6285260444292835	400	#1B9E77	p__Firmicutes_A
s__Marvinbryantia formatexigens	1.6306633374349924	280	#1B9E77	p__Firmicutes_A
s__Massilimaliae timonensis	1.634573019762509	320	#1B9E77	p__Firmicutes_A
s__Clostridium_Q saccharolyticum	1.646338950540601	340	#1B9E77	p__Firmicutes_A
s__Lawsonibacter sp000177015	1.6471588641762476	420	#1B9E77	p__Firmicutes_A
s__Angelakisella sp003453215	1.6484529686745033	360	#1B9E77	p__Firmicutes_A
s__Lachnospira sp000437735	1.6549937529946717	200	#1B9E77	p__Firmicutes_A
s__CAG-492 sp000434015	1.663196110724008	380	#1B9E77	p__Firmicutes_A
s__Fournierella massiliensis	1.6700683563891279	120	#1B9E77	p__Firmicutes_A
s__Clostridium_Q symbiosum	1.6711855657253976	180	#1B9E77	p__Firmicutes_A
s__CAG-269 sp001916055	1.6787915268867202	400	#1B9E77	p__Firmicutes_A
s__Pseudoflavonifractor capillosus	1.6911628986289642	300	#1B9E77	p__Firmicutes_A
s__Clostridium_M sp000431375	1.695122110795939	420	#1B9E77	p__Firmicutes_A
