Run,Assay Type,BioProject,BioSample,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,sample_name,sequencing_method,SRA Study,Submitter_Id,AvgSpotLen,Bases
ERR1293066,WGS,PRJEB12449,SAMEA3879502,74854960,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364638,SAMEA3879502,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879502,MMRS66868025ST-27-0-0,Illumina,ERP013933,MMRS66868025ST-27-0-0,76,86963443
ERR1293067,WGS,PRJEB12449,SAMEA3879502,77460387,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364639,SAMEA3879502,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879502,MMRS66868025ST-27-0-0,Illumina,ERP013933,MMRS66868025ST-27-0-0,76,89974598
ERR1293068,WGS,PRJEB12449,SAMEA3879503,52077352,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364640,SAMEA3879503,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879503,MMRS36405092ST-27-0-0,Illumina,ERP013933,MMRS36405092ST-27-0-0,76,59598849
ERR1293069,WGS,PRJEB12449,SAMEA3879503,51894898,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364641,SAMEA3879503,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879503,MMRS36405092ST-27-0-0,Illumina,ERP013933,MMRS36405092ST-27-0-0,76,59443084
ERR1293070,WGS,PRJEB12449,SAMEA3879503,50088128,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364642,SAMEA3879503,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879503,MMRS36405092ST-27-0-0,Illumina,ERP013933,MMRS36405092ST-27-0-0,76,57347843
ERR1293071,WGS,PRJEB12449,SAMEA3879503,48636484,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364643,SAMEA3879503,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879503,MMRS36405092ST-27-0-0,Illumina,ERP013933,MMRS36405092ST-27-0-0,76,55785598
ERR1293072,WGS,PRJEB12449,SAMEA3879504,44962090,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364644,SAMEA3879504,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879504,MMRS81135225ST-27-0-0,Illumina,ERP013933,MMRS81135225ST-27-0-0,80,53242603
ERR1293073,WGS,PRJEB12449,SAMEA3879504,44781430,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364645,SAMEA3879504,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879504,MMRS81135225ST-27-0-0,Illumina,ERP013933,MMRS81135225ST-27-0-0,80,52860974
ERR1293074,WGS,PRJEB12449,SAMEA3879504,61685610,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364646,SAMEA3879504,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879504,MMRS81135225ST-27-0-0,Illumina,ERP013933,MMRS81135225ST-27-0-0,72,70170747
ERR1293075,WGS,PRJEB12449,SAMEA3879504,44755429,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364647,SAMEA3879504,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879504,MMRS81135225ST-27-0-0,Illumina,ERP013933,MMRS81135225ST-27-0-0,80,53206924
ERR1293076,WGS,PRJEB12449,SAMEA3879505,60383186,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364648,SAMEA3879505,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879505,MMRS77321055ST-27-0-0,Illumina,ERP013933,MMRS77321055ST-27-0-0,75,66474952
ERR1293077,WGS,PRJEB12449,SAMEA3879505,60494198,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364649,SAMEA3879505,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879505,MMRS77321055ST-27-0-0,Illumina,ERP013933,MMRS77321055ST-27-0-0,75,66620360
ERR1293078,WGS,PRJEB12449,SAMEA3879505,64221608,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364650,SAMEA3879505,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879505,MMRS77321055ST-27-0-0,Illumina,ERP013933,MMRS77321055ST-27-0-0,75,71221728
ERR1293079,WGS,PRJEB12449,SAMEA3879505,62502032,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364651,SAMEA3879505,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879505,MMRS77321055ST-27-0-0,Illumina,ERP013933,MMRS77321055ST-27-0-0,75,69019863
ERR1293080,WGS,PRJEB12449,SAMEA3879506,56916602,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364652,SAMEA3879506,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:13Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879506,MMRS86178473ST-27-0-0,Illumina,ERP013933,MMRS86178473ST-27-0-0,75,63342201
ERR1293081,WGS,PRJEB12449,SAMEA3879506,54531215,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364653,SAMEA3879506,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:13Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879506,MMRS86178473ST-27-0-0,Illumina,ERP013933,MMRS86178473ST-27-0-0,75,60729930
ERR1293082,WGS,PRJEB12449,SAMEA3879506,55835222,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364654,SAMEA3879506,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:13Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879506,MMRS86178473ST-27-0-0,Illumina,ERP013933,MMRS86178473ST-27-0-0,75,61954311
ERR1293083,WGS,PRJEB12449,SAMEA3879506,57689457,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364655,SAMEA3879506,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:13Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879506,MMRS86178473ST-27-0-0,Illumina,ERP013933,MMRS86178473ST-27-0-0,75,64151715
ERR1293084,WGS,PRJEB12449,SAMEA3879507,48161032,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364656,SAMEA3879507,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:13Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879507,MMRS64281551ST-27-0-0,Illumina,ERP013933,MMRS64281551ST-27-0-0,73,53360421
ERR1293085,WGS,PRJEB12449,SAMEA3879507,46530459,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-02-24,2016-02-24,2018-11-16,2016-10-21,human-associated habitat,feces,feces,ERX1364657,SAMEA3879507,USA,North America,USA,39N,77W,human-gut,EMBL,European Molecular Biology Laboratory,2016-02-24T17:02:29Z,2016-10-21T09:37:13Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879507,MMRS64281551ST-27-0-0,Illumina,ERP013933,MMRS64281551ST-27-0-0,73,51546384
