Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,Sample Name,SRA Study
SRR6915125,WGS,198,6000296678,PRJNA447983,SAMN08813930,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2900719378,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",human,digestive system,stool,SRX3862885,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ61C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 11,SBJ61C,SRP136711
SRR6915127,WGS,198,5253305524,PRJNA447983,SAMN08813922,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2600038669,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human,digestive system,stool,SRX3862883,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ50C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 3,SBJ50C,SRP136711
SRR6915134,WGS,198,4371661312,PRJNA447983,SAMN08813979,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2119172192,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862876,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ46H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 60,SBJ46H,SRP136711
SRR6915136,WGS,198,4358937863,PRJNA447983,SAMN08813931,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2131134166,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862874,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ53C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 12,SBJ53C,SRP136711
SRR6915137,WGS,197,2582342536,PRJNA447983,SAMN08814017,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1264602631,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",human,digestive system,stool,SRX3862873,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF65,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 98,VF65,SRP136711
SRR6915143,WGS,198,2899983053,PRJNA447983,SAMN08814009,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1420747119,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862867,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF38,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 90,VF38,SRP136711
SRR6915144,WGS,198,5283084792,PRJNA447983,SAMN08814010,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2597820419,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",human,digestive system,stool,SRX3862866,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF40,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 91,VF40,SRP136711
SRR6915146,WGS,199,7139890166,PRJNA447983,SAMN08814012,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3437745984,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862864,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF47,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 93,VF47,SRP136711
SRR6915148,WGS,198,1003601057,PRJNA447983,SAMN08813927,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",480035294,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862862,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ37H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 8,SBJ37H,SRP136711
SRR6915150,WGS,197,4061843135,PRJNA447983,SAMN08813951,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1948920335,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",human,digestive system,stool,SRX3862860,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ35C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 32,SBJ35C,SRP136711
SRR6915151,WGS,198,3027512615,PRJNA447983,SAMN08813978,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1461423553,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862859,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ32C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 59,SBJ32C,SRP136711
SRR6915152,WGS,198,3940584384,PRJNA447983,SAMN08813934,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1892449266,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",human,digestive system,stool,SRX3862858,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ33C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 15,SBJ33C,SRP136711
SRR6915154,WGS,198,1258441499,PRJNA447983,SAMN08813924,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",608118826,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",human,digestive system,stool,SRX3862856,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ31C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 5,SBJ31C,SRP136711
SRR6915155,WGS,198,2876292643,PRJNA447983,SAMN08813935,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1379250415,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862855,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ39C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 16,SBJ39C,SRP136711
SRR6915156,WGS,198,3348954723,PRJNA447983,SAMN08813941,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1612614504,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862854,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ40C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 22,SBJ40C,SRP136711
SRR6915157,WGS,198,3046780024,PRJNA447983,SAMN08814027,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1469559084,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",human,digestive system,stool,SRX3862853,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF97,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 108,VF97,SRP136711
SRR6915160,WGS,198,3767584131,PRJNA447983,SAMN08814021,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1916865979,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862850,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF71,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 102,VF71,SRP136711
SRR6915162,WGS,198,5632484294,PRJNA447983,SAMN08814019,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2709571472,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",human,digestive system,stool,SRX3862848,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF69,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 100,VF69,SRP136711
SRR6915163,WGS,198,3460005865,PRJNA447983,SAMN08814025,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1651625777,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862847,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF90,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 106,VF90,SRP136711
SRR6915165,WGS,198,2207785059,PRJNA447983,SAMN08814059,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1069955095,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862845,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF82,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 140,VF82,SRP136711
SRR6915172,WGS,198,5440126805,PRJNA447983,SAMN08813948,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2673731577,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",human,digestive system,stool,SRX3862838,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ81H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 29,SBJ81H,SRP136711
SRR6915174,WGS,198,3359472429,PRJNA447983,SAMN08813977,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1640468185,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",human,digestive system,stool,SRX3862836,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ79H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 58,SBJ79H,SRP136711
SRR6915176,WGS,198,2383140130,PRJNA447983,SAMN08813933,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1160142444,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",human,digestive system,stool,SRX3862834,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ83H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 14,SBJ83H,SRP136711
SRR6915179,WGS,197,5776048618,PRJNA447983,SAMN08813966,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2745374527,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",human,digestive system,stool,SRX3862831,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ06C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 47,SBJ06C,SRP136711
SRR6915181,WGS,198,4727806502,PRJNA447983,SAMN08813938,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2269208448,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",human,digestive system,stool,SRX3862829,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ10C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 19,SBJ10C,SRP136711
SRR6915182,WGS,198,5789596185,PRJNA447983,SAMN08813958,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2779213404,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",human,digestive system,stool,SRX3862828,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ07C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 39,SBJ07C,SRP136711
SRR6915183,WGS,198,4172656669,PRJNA447983,SAMN08813945,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2018330929,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862827,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ02C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 26,SBJ02C,SRP136711
SRR6915185,WGS,198,3449968979,PRJNA447983,SAMN08813936,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1640148704,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",human,digestive system,stool,SRX3862825,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ04C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 17,SBJ04C,SRP136711
SRR6915186,WGS,197,5943992913,PRJNA447983,SAMN08813974,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2808161026,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",human,digestive system,stool,SRX3862824,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ03H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 55,SBJ03H,SRP136711
SRR6915188,WGS,198,3546464398,PRJNA447983,SAMN08814028,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1695995852,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",human,digestive system,stool,SRX3862822,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF270,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 109,VF270,SRP136711
SRR6915189,WGS,198,7498578001,PRJNA447983,SAMN08814048,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3662401887,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862821,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF263,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 129,VF263,SRP136711
SRR6915190,WGS,198,9084962108,PRJNA447983,SAMN08814038,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4344307107,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862820,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF264,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 119,VF264,SRP136711
SRR6915194,WGS,198,2624794425,PRJNA447983,SAMN08814040,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1220748696,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862816,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF259,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 121,VF259,SRP136711
