Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA Study,Submitter_Id
ERR260140,WGS,202,1935856900,PRJEB1786,SAMEA1906489,1323298801,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,s3","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234728,SAMEA1906489,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906489,9,ERP002469,9
ERR260141,WGS,202,2488603034,PRJEB1786,SAMEA1906485,1752307219,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3","gs.US,s3.us-east-1,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234729,SAMEA1906485,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906485,10,ERP002469,10
ERR260142,WGS,202,2452610674,PRJEB1786,SAMEA1906416,1782242592,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,gs,ena","ena,gs.US,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234730,SAMEA1906416,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906416,11,ERP002469,11
ERR260143,WGS,202,2849144956,PRJEB1786,SAMEA1906434,2038885788,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,gs,ena","ena,gs.US,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234731,SAMEA1906434,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906434,12,ERP002469,12
ERR260144,WGS,202,2483902494,PRJEB1786,SAMEA1906558,1754345269,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,s3,gs","gs.US,s3.us-east-1,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234732,SAMEA1906558,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906558,13,ERP002469,13
ERR260145,WGS,202,2832133728,PRJEB1786,SAMEA1906582,2028431916,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3","s3.us-east-1,gs.US,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234733,SAMEA1906582,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906582,14,ERP002469,14
ERR260146,WGS,202,2805316612,PRJEB1786,SAMEA1906496,2039612553,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,s3,ena","s3.us-east-1,gs.US,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234734,SAMEA1906496,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906496,15,ERP002469,15
ERR260147,WGS,202,2821768300,PRJEB1786,SAMEA1906490,2101637156,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3","gs.US,s3.us-east-1,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234735,SAMEA1906490,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906490,16,ERP002469,16
ERR260148,WGS,202,2209859194,PRJEB1786,SAMEA1906457,1571457806,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,s3","s3.us-east-1,ena,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234736,SAMEA1906457,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906457,17,ERP002469,17
ERR260149,WGS,202,3081799264,PRJEB1786,SAMEA1906437,2219693097,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,s3,gs","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234737,SAMEA1906437,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906437,18,ERP002469,18
ERR260150,WGS,202,3043333010,PRJEB1786,SAMEA1906419,2153769930,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234738,SAMEA1906419,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906419,19,ERP002469,19
ERR260151,WGS,202,2630431274,PRJEB1786,SAMEA1906571,1876190136,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,gs,ena","s3.us-east-1,ena,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234739,SAMEA1906571,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906571,20,ERP002469,20
ERR260152,WGS,202,1813559434,PRJEB1786,SAMEA1906580,1295615645,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,gs,ena","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234740,SAMEA1906580,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906580,21,ERP002469,21
ERR260153,WGS,202,2811341262,PRJEB1786,SAMEA1906560,2011740058,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,s3","gs.US,ena,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234741,SAMEA1906560,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906560,22,ERP002469,22
ERR260154,WGS,202,2485331038,PRJEB1786,SAMEA1906541,1775906892,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,s3,gs","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234742,SAMEA1906541,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906541,23,ERP002469,23
ERR260155,WGS,202,2575030956,PRJEB1786,SAMEA1906505,1846110767,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,gs,s3","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234743,SAMEA1906505,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906505,24,ERP002469,24
ERR260156,WGS,202,1683913006,PRJEB1786,SAMEA1906518,1196756607,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,gs,ena","s3.us-east-1,gs.US,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234744,SAMEA1906518,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906518,25,ERP002469,25
ERR260157,WGS,202,2355739554,PRJEB1786,SAMEA1906578,1655533194,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,ena,gs","s3.us-east-1,gs.US,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234745,SAMEA1906578,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906578,26,ERP002469,26
ERR260158,WGS,202,2106879392,PRJEB1786,SAMEA1906561,1481237999,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,ena,gs","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234746,SAMEA1906561,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906561,27,ERP002469,27
ERR260159,WGS,202,2187599400,PRJEB1786,SAMEA1906435,1566931401,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,ena,gs","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234747,SAMEA1906435,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906435,28,ERP002469,28
ERR260160,WGS,202,2333460974,PRJEB1786,SAMEA1906423,1660065367,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,gs,s3","gs.US,s3.us-east-1,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234748,SAMEA1906423,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906423,29,ERP002469,29
ERR260161,WGS,202,4332127956,PRJEB1786,SAMEA1906482,3198063019,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,s3,gs","gs.US,ena,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234749,SAMEA1906482,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906482,30,ERP002469,30
ERR260162,WGS,202,6206585340,PRJEB1786,SAMEA1906450,4585795663,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,s3,gs","s3.us-east-1,gs.US,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234750,SAMEA1906450,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906450,31,ERP002469,31
ERR260163,WGS,202,3218523570,PRJEB1786,SAMEA1906470,2395027422,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,s3,gs","s3.us-east-1,ena,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234751,SAMEA1906470,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906470,32,ERP002469,32
ERR260164,WGS,202,3528416012,PRJEB1786,SAMEA1906537,2635113639,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,gs,s3","ena,gs.US,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234752,SAMEA1906537,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906537,33,ERP002469,33
ERR260165,WGS,202,4665993960,PRJEB1786,SAMEA1906512,3468493578,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,s3,gs","gs.US,s3.us-east-1,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234753,SAMEA1906512,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906512,34,ERP002469,34
ERR260166,WGS,202,4395895316,PRJEB1786,SAMEA1906469,3304349827,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,ena,gs","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234754,SAMEA1906469,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906469,35,ERP002469,35
ERR260167,WGS,202,4349189684,PRJEB1786,SAMEA1906456,3213476637,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ena","ena,gs.US,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234755,SAMEA1906456,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906456,36,ERP002469,36
ERR260168,WGS,202,4677011242,PRJEB1786,SAMEA1906480,3468166909,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,s3,ena","gs.US,ena,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234756,SAMEA1906480,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906480,37,ERP002469,37
ERR260169,WGS,202,1920754976,PRJEB1786,SAMEA1906421,1426108498,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,s3,ena","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234757,SAMEA1906421,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906421,38,ERP002469,38
ERR260170,WGS,202,3060202838,PRJEB1786,SAMEA1906441,2289042287,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,s3,gs","s3.us-east-1,ena,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234758,SAMEA1906441,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906441,39,ERP002469,39
ERR260171,WGS,202,5829033604,PRJEB1786,SAMEA1906568,4048878426,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,s3,gs","s3.us-east-1,ena,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234759,SAMEA1906568,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906568,40,ERP002469,40
ERR260172,WGS,202,5463190394,PRJEB1786,SAMEA1906547,3756005308,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3","s3.us-east-1,ena,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234760,SAMEA1906547,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906547,41,ERP002469,41
ERR260173,WGS,202,6016218318,PRJEB1786,SAMEA1906529,4188004622,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,gs,s3","gs.US,s3.us-east-1,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234761,SAMEA1906529,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906529,42,ERP002469,42
ERR260174,WGS,202,4557287054,PRJEB1786,SAMEA1906540,3151332021,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,s3,gs","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234762,SAMEA1906540,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906540,43,ERP002469,43
ERR260175,WGS,202,3201683234,PRJEB1786,SAMEA1906522,2217265696,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,gs,ena","gs.US,ena,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234763,SAMEA1906522,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906522,44,ERP002469,44
ERR260176,WGS,202,3742755384,PRJEB1786,SAMEA1906583,2593393693,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,s3","gs.US,s3.us-east-1,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234764,SAMEA1906583,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906583,45,ERP002469,45
ERR260177,WGS,202,4335598114,PRJEB1786,SAMEA1906559,2987658365,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,gs,ena","ena,gs.US,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234765,SAMEA1906559,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906559,46,ERP002469,46
