Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Month,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Subject
SRR5651401,WGS,199,1579006310,PRJNA385949,SAMN07200396,Metagenome or environmental,928470422,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX2888354,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST027_3_G102945,PAIRED,RANDOM,METAGENOMIC,3,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:20:00Z,1,SKST027_3_G102945,SRP108708,SKST027
SRR5651402,WGS,199,1528997316,PRJNA385949,SAMN07200397,Metagenome or environmental,895695833,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX2888353,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST027_4_G102958,PAIRED,RANDOM,METAGENOMIC,4,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:21:00Z,1,SKST027_4_G102958,SRP108708,SKST027
SRR5651403,WGS,199,424219013,PRJNA385949,SAMN07200398,Metagenome or environmental,248152908,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2888352,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST027_6_G102955,PAIRED,RANDOM,METAGENOMIC,6,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:18:00Z,1,SKST027_6_G102955,SRP108708,SKST027
SRR5651404,WGS,200,869046253,PRJNA385949,SAMN07200399,Metagenome or environmental,502899111,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX2888351,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST027_9_G102947,PAIRED,RANDOM,METAGENOMIC,9,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:19:00Z,1,SKST027_9_G102947,SRP108708,SKST027
SRR5651405,WGS,200,878228414,PRJNA385949,SAMN07200392,Metagenome or environmental,506065200,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX2888350,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST027_11_G102996,PAIRED,RANDOM,METAGENOMIC,11,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:18:00Z,1,SKST027_11_G102996,SRP108708,SKST027
SRR5651406,WGS,200,122303649,PRJNA385949,SAMN07200393,Metagenome or environmental,70808375,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2888349,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST027_12_G103011,PAIRED,RANDOM,METAGENOMIC,12,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:17:00Z,1,SKST027_12_G103011,SRP108708,SKST027
SRR5651407,WGS,199,400560238,PRJNA385949,SAMN07200394,Metagenome or environmental,232430353,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX2888348,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST027_1_G102984,PAIRED,RANDOM,METAGENOMIC,1,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:18:00Z,1,SKST027_1_G102984,SRP108708,SKST027
SRR5651408,WGS,198,1059916944,PRJNA385949,SAMN07200395,Metagenome or environmental,632291615,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX2888347,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST027_2_G102985,PAIRED,RANDOM,METAGENOMIC,2,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:21:00Z,1,SKST027_2_G102985,SRP108708,SKST027
SRR5651409,WGS,199,1468219836,PRJNA385949,SAMN07200400,Metagenome or environmental,859665037,BROAD INSTITUTE,2013,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2888346,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST032_1_G102943,PAIRED,RANDOM,METAGENOMIC,1,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:21:00Z,1,SKST032_1_G102943,SRP108708,SKST032
SRR5651410,WGS,200,5378730700,PRJNA385949,SAMN07200401,Metagenome or environmental,3087964950,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2888345,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST032_2_G102946,PAIRED,RANDOM,METAGENOMIC,2,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:29:00Z,1,SKST032_2_G102946,SRP108708,SKST032
SRR5651411,WGS,199,982731964,PRJNA385949,SAMN07200363,Metagenome or environmental,584801868,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2888344,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST014_3_G102978,PAIRED,RANDOM,METAGENOMIC,3,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:19:00Z,1,SKST014_3_G102978,SRP108708,SKST014
SRR5651412,WGS,200,2471405095,PRJNA385949,SAMN07200362,Metagenome or environmental,1448147431,BROAD INSTITUTE,2013,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX2888343,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST014_2_G102977,PAIRED,RANDOM,METAGENOMIC,2,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:30:00Z,1,SKST014_2_G102977,SRP108708,SKST014
SRR5651413,WGS,200,2478608995,PRJNA385949,SAMN07200365,Metagenome or environmental,1440534556,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX2888342,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST014_5_G102980,PAIRED,RANDOM,METAGENOMIC,5,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:22:00Z,1,SKST014_5_G102980,SRP108708,SKST014
SRR5651414,WGS,199,328822398,PRJNA385949,SAMN07200364,Metagenome or environmental,193054032,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX2888341,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST014_4_G102979,PAIRED,RANDOM,METAGENOMIC,4,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:17:00Z,1,SKST014_4_G102979,SRP108708,SKST014
SRR5651415,WGS,199,991177759,PRJNA385949,SAMN07200367,Metagenome or environmental,585131437,BROAD INSTITUTE,2013,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX2888340,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST014_7_G102940,PAIRED,RANDOM,METAGENOMIC,7,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:19:00Z,1,SKST014_7_G102940,SRP108708,SKST014
SRR5651416,WGS,199,1431092263,PRJNA385949,SAMN07200366,Metagenome or environmental,834394456,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX2888339,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST014_6_G102951,PAIRED,RANDOM,METAGENOMIC,6,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:20:00Z,1,SKST014_6_G102951,SRP108708,SKST014
SRR5651417,WGS,200,3385424670,PRJNA385949,SAMN07200369,Metagenome or environmental,1948730506,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX2888338,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST023_2_G102987,PAIRED,RANDOM,METAGENOMIC,2,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:26:00Z,1,SKST023_2_G102987,SRP108708,SKST023
SRR5651418,WGS,200,3250099270,PRJNA385949,SAMN07200368,Metagenome or environmental,1860145798,BROAD INSTITUTE,2013,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX2888337,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST023_1_G102981,PAIRED,RANDOM,METAGENOMIC,1,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:24:00Z,1,SKST023_1_G102981,SRP108708,SKST023
SRR5651419,WGS,199,1039970096,PRJNA385949,SAMN07200371,Metagenome or environmental,604672577,BROAD INSTITUTE,2013,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX2888336,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST023_4_G102937,PAIRED,RANDOM,METAGENOMIC,4,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:20:00Z,1,SKST023_4_G102937,SRP108708,SKST023
SRR5651420,WGS,200,2443393696,PRJNA385949,SAMN07200370,Metagenome or environmental,1409910748,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX2888335,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST023_3_G102941,PAIRED,RANDOM,METAGENOMIC,3,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:23:00Z,1,SKST023_3_G102941,SRP108708,SKST023
SRR5651421,WGS,200,2564668531,PRJNA385949,SAMN07200349,Metagenome or environmental,1462550595,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2888334,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST011_3_G102973,PAIRED,RANDOM,METAGENOMIC,3,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:28:00Z,1,SKST011_3_G102973,SRP108708,SKST011
SRR5651422,WGS,199,3588516009,PRJNA385949,SAMN07200348,Metagenome or environmental,2093988231,BROAD INSTITUTE,2013,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX2888333,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST011_2_G102972,PAIRED,RANDOM,METAGENOMIC,2,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:34:00Z,1,SKST011_2_G102972,SRP108708,SKST011
SRR5651423,WGS,200,3338815499,PRJNA385949,SAMN07200347,Metagenome or environmental,1913531371,BROAD INSTITUTE,2013,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX2888332,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST011_1_G102971,PAIRED,RANDOM,METAGENOMIC,1,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:26:00Z,1,SKST011_1_G102971,SRP108708,SKST011
SRR5651424,WGS,200,3581287287,PRJNA385949,SAMN07200346,Metagenome or environmental,2095282425,BROAD INSTITUTE,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX2888331,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST010_8_G102998,PAIRED,RANDOM,METAGENOMIC,8,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:27:00Z,1,SKST010_8_G102998,SRP108708,SKST010
SRR5651425,WGS,200,2643156346,PRJNA385949,SAMN07200345,Metagenome or environmental,1537149256,BROAD INSTITUTE,2013,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX2888330,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST010_7_G103003,PAIRED,RANDOM,METAGENOMIC,7,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:25:00Z,1,SKST010_7_G103003,SRP108708,SKST010
SRR5651426,WGS,200,833359162,PRJNA385949,SAMN07200344,Metagenome or environmental,478650973,BROAD INSTITUTE,2013,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2888329,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST010_6_G103004,PAIRED,RANDOM,METAGENOMIC,6,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:20:00Z,1,SKST010_6_G103004,SRP108708,SKST010
SRR5651427,WGS,200,3043746444,PRJNA385949,SAMN07200343,Metagenome or environmental,1753555824,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2888328,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST010_5_G102990,PAIRED,RANDOM,METAGENOMIC,5,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:30:00Z,1,SKST010_5_G102990,SRP108708,SKST010
SRR5651428,WGS,200,1579018344,PRJNA385949,SAMN07200342,Metagenome or environmental,905488035,BROAD INSTITUTE,2013,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2888327,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST010_4_G102956,PAIRED,RANDOM,METAGENOMIC,4,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:22:00Z,1,SKST010_4_G102956,SRP108708,SKST010
SRR5651429,WGS,200,3119706989,PRJNA385949,SAMN07200351,Metagenome or environmental,1814128280,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2888326,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST011_5_G102993,PAIRED,RANDOM,METAGENOMIC,5,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:26:00Z,1,SKST011_5_G102993,SRP108708,SKST011
SRR5651430,WGS,200,2635439825,PRJNA385949,SAMN07200350,Metagenome or environmental,1524561007,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX2888325,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST011_4_G102952,PAIRED,RANDOM,METAGENOMIC,4,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:28:00Z,1,SKST011_4_G102952,SRP108708,SKST011
SRR5651431,WGS,200,1570590744,PRJNA385949,SAMN07200374,Metagenome or environmental,901233700,BROAD INSTITUTE,2013,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2888324,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST023_7_G103015,PAIRED,RANDOM,METAGENOMIC,7,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:22:00Z,1,SKST023_7_G103015,SRP108708,SKST023
SRR5651432,WGS,200,1388781535,PRJNA385949,SAMN07200375,Metagenome or environmental,797331108,BROAD INSTITUTE,2013,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX2888323,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST024_1_G102982,PAIRED,RANDOM,METAGENOMIC,1,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:21:00Z,1,SKST024_1_G102982,SRP108708,SKST024
SRR5651433,WGS,200,1929987702,PRJNA385949,SAMN07200372,Metagenome or environmental,1104096171,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2888322,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST023_5_G103007,PAIRED,RANDOM,METAGENOMIC,5,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:24:00Z,1,SKST023_5_G103007,SRP108708,SKST023
SRR5651434,WGS,199,1088047950,PRJNA385949,SAMN07200373,Metagenome or environmental,629154528,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX2888321,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST023_6_G103009,PAIRED,RANDOM,METAGENOMIC,6,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:20:00Z,1,SKST023_6_G103009,SRP108708,SKST023
SRR5651435,WGS,200,2756183703,PRJNA385949,SAMN07200378,Metagenome or environmental,1613419611,BROAD INSTITUTE,2013,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2888320,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST024_4_G102938,PAIRED,RANDOM,METAGENOMIC,4,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:24:00Z,1,SKST024_4_G102938,SRP108708,SKST024
SRR5651436,WGS,200,573921965,PRJNA385949,SAMN07200379,Metagenome or environmental,330240095,BROAD INSTITUTE,2013,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2888319,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST024_5_G103001,PAIRED,RANDOM,METAGENOMIC,5,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:19:00Z,1,SKST024_5_G103001,SRP108708,SKST024
SRR5651437,WGS,199,1377860997,PRJNA385949,SAMN07200376,Metagenome or environmental,807786768,BROAD INSTITUTE,2013,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX2888318,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST024_2_G102953,PAIRED,RANDOM,METAGENOMIC,2,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:21:00Z,1,SKST024_2_G102953,SRP108708,SKST024
SRR5651438,WGS,200,3576255106,PRJNA385949,SAMN07200377,Metagenome or environmental,2074260160,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX2888317,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST024_3_G102944,PAIRED,RANDOM,METAGENOMIC,3,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:30:00Z,1,SKST024_3_G102944,SRP108708,SKST024
SRR5651439,WGS,199,2589859584,PRJNA385949,SAMN07200380,Metagenome or environmental,1494568914,BROAD INSTITUTE,2013,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX2888316,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST024_6_G103012,PAIRED,RANDOM,METAGENOMIC,6,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:25:00Z,1,SKST024_6_G103012,SRP108708,SKST024
SRR5651440,WGS,200,2085323458,PRJNA385949,SAMN07200381,Metagenome or environmental,1199614289,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX2888315,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST024_7_G103022,PAIRED,RANDOM,METAGENOMIC,7,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:25:00Z,1,SKST024_7_G103022,SRP108708,SKST024
SRR5651441,WGS,200,3755564194,PRJNA385949,SAMN07200352,Metagenome or environmental,2175498662,BROAD INSTITUTE,2013,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2888314,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST011_6_G103002,PAIRED,RANDOM,METAGENOMIC,6,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:28:00Z,1,SKST011_6_G103002,SRP108708,SKST011
