Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR18490948,WGS,8951,5263065674,PRJNA820119,SAMN26980376,Metagenome or environmental,4799850957,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14622780,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.334 E,TD32,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:24:00Z,1,TD32,SRP366030
SRR18490949,WGS,6094,2903813931,PRJNA820119,SAMN26980375,Metagenome or environmental,2652523118,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14622779,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.333 E,TD31,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:22:00Z,1,TD31,SRP366030
SRR18490950,WGS,300,8631144900,PRJNA820119,SAMN26980078,Metagenome or environmental,2834822958,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14622778,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.36 E,META20IMWJ28_CD34,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:32:00Z,1,META20IMWJ28_CD34,SRP366030
SRR18490951,WGS,4820,2433873851,PRJNA820119,SAMN26980374,Metagenome or environmental,2228913402,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14622777,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.332 E,TD30,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:20:00Z,1,TD30,SRP366030
SRR18490952,WGS,5429,2871619492,PRJNA820119,SAMN26980373,Metagenome or environmental,2619042766,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX14622720,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.331 E,TD29,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:20:00Z,1,TD29,SRP366030
SRR18490953,WGS,6161,8828439404,PRJNA820119,SAMN26980346,Metagenome or environmental,7999743830,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14622775,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.304 E,TD2,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:23:00Z,1,TD2,SRP366030
SRR18490954,WGS,9708,4893353484,PRJNA820119,SAMN26980345,Metagenome or environmental,4413594518,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX14622774,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.303 E,TD1,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:28:00Z,1,TD1,SRP366030
SRR18490955,WGS,300,7195627800,PRJNA820119,SAMN26980075,Metagenome or environmental,2380542406,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14622773,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.33 E,META20IMWJ28_CD31,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:24:00Z,1,META20IMWJ28_CD31,SRP366030
SRR18490956,WGS,300,7525427700,PRJNA820119,SAMN26980048,Metagenome or environmental,2472617561,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX14622772,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.6 E,META20IMWJ28_CD4,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:37:00Z,1,META20IMWJ28_CD4,SRP366030
SRR18490957,WGS,8083,5837677596,PRJNA820119,SAMN26980344,Metagenome or environmental,5305388055,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14622771,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.302 E,CD100,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:23:00Z,1,CD100,SRP366030
SRR18490958,WGS,7763,5133735635,PRJNA820119,SAMN26980343,Metagenome or environmental,4661351309,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX14622770,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.301 E,CD99,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:22:00Z,1,CD99,SRP366030
SRR18490959,WGS,7506,5592367460,PRJNA820119,SAMN26980342,Metagenome or environmental,5073250058,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14622769,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.300 E,CD98,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:30:00Z,1,CD98,SRP366030
SRR18490960,WGS,7383,8471243122,PRJNA820119,SAMN26980341,Metagenome or environmental,7699691711,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14622768,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.299 E,CD97,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:28:00Z,1,CD97,SRP366030
SRR18490961,WGS,7162,7367718181,PRJNA820119,SAMN26980340,Metagenome or environmental,6688952399,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX14622767,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.298 E,CD96,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:30:00Z,1,CD96,SRP366030
SRR18490962,WGS,8078,7244332520,PRJNA820119,SAMN26980339,Metagenome or environmental,6575791765,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX14622766,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.297 E,CD95,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:28:00Z,1,CD95,SRP366030
SRR18490963,WGS,8054,7762785526,PRJNA820119,SAMN26980338,Metagenome or environmental,7052719494,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX14622765,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.296 E,CD94,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:30:00Z,1,CD94,SRP366030
SRR18490964,WGS,7766,7761727712,PRJNA820119,SAMN26980337,Metagenome or environmental,7043862220,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX14622764,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.295 E,CD93,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:39:00Z,1,CD93,SRP366030
SRR18490965,WGS,8276,8568688430,PRJNA820119,SAMN26980336,Metagenome or environmental,7769829724,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14622763,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.294 E,CD92,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:25:00Z,1,CD92,SRP366030
SRR18490966,WGS,7095,9822066003,PRJNA820119,SAMN26980335,Metagenome or environmental,8909396741,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14622762,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.293 E,CD91,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:29:00Z,1,CD91,SRP366030
SRR18490967,WGS,300,9028000200,PRJNA820119,SAMN26980074,Metagenome or environmental,2964719358,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14622761,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.32 E,META20IMWJ28_CD30,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:34:00Z,1,META20IMWJ28_CD30,SRP366030
SRR18490968,WGS,9253,5237098296,PRJNA820119,SAMN26980334,Metagenome or environmental,4750925004,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14622760,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.292 E,CD90,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:27:00Z,1,CD90,SRP366030
SRR18490969,WGS,7568,6464477591,PRJNA820119,SAMN26980333,Metagenome or environmental,5865550290,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14622759,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.291 E,CD89,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:23:00Z,1,CD89,SRP366030
SRR18490970,WGS,8131,6829441596,PRJNA820119,SAMN26980332,Metagenome or environmental,6197598199,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14622758,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.290 E,CD88,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:24:00Z,1,CD88,SRP366030
SRR18490971,WGS,9493,5531732548,PRJNA820119,SAMN26980331,Metagenome or environmental,5020284124,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14622757,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.289 E,CD87,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:27:00Z,1,CD87,SRP366030
SRR18490972,WGS,5419,3548494874,PRJNA820119,SAMN26980330,Metagenome or environmental,3268563996,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14622756,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.288 E,CD86,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:33:00Z,1,CD86,SRP366030
SRR18490973,WGS,8952,5397911017,PRJNA820119,SAMN26980329,Metagenome or environmental,4877157766,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX14622755,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.287 E,CD85,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:27:00Z,1,CD85,SRP366030
SRR18490974,WGS,6866,5792740420,PRJNA820119,SAMN26980328,Metagenome or environmental,5255742369,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14622754,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.286 E,CD84,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:27:00Z,1,CD84,SRP366030
SRR18490975,WGS,8141,4595928739,PRJNA820119,SAMN26980327,Metagenome or environmental,4166013870,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14622753,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.285 E,CD83,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:26:00Z,1,CD83,SRP366030
SRR18490976,WGS,8156,4667691342,PRJNA820119,SAMN26980326,Metagenome or environmental,4228637740,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14622752,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.284 E,CD82,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:22:00Z,1,CD82,SRP366030
SRR18490977,WGS,5090,2199791784,PRJNA820119,SAMN26980325,Metagenome or environmental,1997145093,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14622751,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.283 E,CD81,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:20:00Z,1,CD81,SRP366030
SRR18490978,WGS,300,9099210000,PRJNA820119,SAMN26980073,Metagenome or environmental,2941849549,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX14622750,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.31 E,META20IMWJ28_CD29,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:29:00Z,1,META20IMWJ28_CD29,SRP366030
SRR18490979,WGS,8312,5722358798,PRJNA820119,SAMN26980324,Metagenome or environmental,5170654200,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14622749,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.282 E,CD80,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:23:00Z,1,CD80,SRP366030
SRR18490980,WGS,8611,4060242679,PRJNA820119,SAMN26980323,Metagenome or environmental,3687066926,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14622580,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.281 E,CD79,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:21:00Z,1,CD79,SRP366030
SRR18490981,WGS,300,8038408800,PRJNA820119,SAMN26980221,Metagenome or environmental,2625370589,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14622747,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.179 E,META20IMWJ27_TD77,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:29:00Z,1,META20IMWJ27_TD77,SRP366030
SRR18490982,WGS,300,6103214100,PRJNA820119,SAMN26980220,Metagenome or environmental,2021709708,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14622746,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.178 E,META20IMWJ27_TD76,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:25:00Z,1,META20IMWJ27_TD76,SRP366030
SRR18490983,WGS,300,5298266100,PRJNA820119,SAMN26980219,Metagenome or environmental,1732449813,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX14622745,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.177 E,META20IMWJ27_TD75,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:24:00Z,1,META20IMWJ27_TD75,SRP366030
SRR18490984,WGS,300,8731529700,PRJNA820119,SAMN26980218,Metagenome or environmental,2880286665,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14622744,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.176 E,META20IMWJ27_TD74,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:29:00Z,1,META20IMWJ27_TD74,SRP366030
SRR18490985,WGS,300,9538702500,PRJNA820119,SAMN26980217,Metagenome or environmental,3122764758,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14622743,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.175 E,META20IMWJ27_TD73,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:29:00Z,1,META20IMWJ27_TD73,SRP366030
SRR18490986,WGS,300,8927160600,PRJNA820119,SAMN26980216,Metagenome or environmental,2893991753,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14622742,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.174 E,META20IMWJ27_TD72,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:51:00Z,1,META20IMWJ27_TD72,SRP366030
