Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,sample_name,sequencing_method,SRA Study,Submitter_Id
ERR688374,WGS,83,63832199,PRJEB7774,SAMEA3136747,67869260,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633375,SAMEA3136747,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021649-102,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136747,31237,Illumina,ERP008729,31237
ERR688375,WGS,84,72996477,PRJEB7774,SAMEA3136693,75556921,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633376,SAMEA3136693,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021671-62,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136693,31256,Illumina,ERP008729,31256
ERR688376,WGS,89,95171906,PRJEB7774,SAMEA3136676,91624578,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633377,SAMEA3136676,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022076-89,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136676,31267,Illumina,ERP008729,31267
ERR688377,WGS,88,70847312,PRJEB7774,SAMEA3136707,69424147,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633378,SAMEA3136707,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021941-129,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136707,31275,Illumina,ERP008729,31275
ERR688378,WGS,84,50970666,PRJEB7774,SAMEA3136743,53231188,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633379,SAMEA3136743,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021668-89,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136743,31276,Illumina,ERP008729,31276
ERR688379,WGS,89,71801067,PRJEB7774,SAMEA3136704,69065285,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633380,SAMEA3136704,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021938-111,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136704,31282,Illumina,ERP008729,31282
ERR688380,WGS,80,95127967,PRJEB7774,SAMEA3136754,102448560,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633381,SAMEA3136754,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021656-133,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136754,31285,Illumina,ERP008729,31285
ERR688381,WGS,87,108714360,PRJEB7774,SAMEA3136644,106415517,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633382,SAMEA3136644,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022049-109,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136644,31300,Illumina,ERP008729,31300
ERR688382,WGS,86,115699167,PRJEB7774,SAMEA3136654,115572466,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633383,SAMEA3136654,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022059-169,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136654,31328,Illumina,ERP008729,31328
ERR688383,WGS,88,89005990,PRJEB7774,SAMEA3136673,85540651,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633384,SAMEA3136673,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022075-88,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136673,31333,Illumina,ERP008729,31333
ERR688384,WGS,86,50197506,PRJEB7774,SAMEA3136702,50459270,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633385,SAMEA3136702,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021672-108,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136702,31337,Illumina,ERP008729,31337
ERR688385,WGS,87,86195075,PRJEB7774,SAMEA3136665,83376491,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633386,SAMEA3136665,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022069-37,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136665,31343,Illumina,ERP008729,31343
ERR688386,WGS,89,75240388,PRJEB7774,SAMEA3136664,70868946,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633387,SAMEA3136664,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022068-36,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136664,31360,Illumina,ERP008729,31360
ERR688387,WGS,83,101117542,PRJEB7774,SAMEA3136765,101819972,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633388,SAMEA3136765,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021640-47,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136765,31367,Illumina,ERP008729,31367
ERR688388,WGS,88,88928075,PRJEB7774,SAMEA3136656,86582272,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633389,SAMEA3136656,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022061-17,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136656,31379,Illumina,ERP008729,31379
ERR688389,WGS,85,63041989,PRJEB7774,SAMEA3136680,64262451,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633390,SAMEA3136680,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021670-25,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136680,31398,Illumina,ERP008729,31398
ERR688390,WGS,89,66770115,PRJEB7774,SAMEA3136650,65889497,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633391,SAMEA3136650,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022055-140,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136650,31416,Illumina,ERP008729,31416
ERR688391,WGS,82,132753715,PRJEB7774,SAMEA3136691,135055608,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633392,SAMEA3136691,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021925-43,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136691,31424,Illumina,ERP008729,31424
ERR688392,WGS,84,129159987,PRJEB7774,SAMEA3136626,132334405,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633393,SAMEA3136626,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021957-33,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136626,31428,Illumina,ERP008729,31428
ERR688393,WGS,86,61378912,PRJEB7774,SAMEA3136713,60612277,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633394,SAMEA3136713,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021946-166,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136713,31431,Illumina,ERP008729,31431
ERR688394,WGS,84,99733950,PRJEB7774,SAMEA3136724,102989264,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633395,SAMEA3136724,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021629-16,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136724,31446,Illumina,ERP008729,31446
